Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
JOO CHIAT MANSIONS,"1,380,000","1,237.86","1,115",Apr-21,JOO CHIAT TERRACE,Resale,Strata,115,"12,000",-,Apartment,1,Freehold,15,Rest of Central Region,01 to 05
VILLA MARINA,"1,280,000","1,496.2",856,Apr-21,JALAN SEMPADAN,Resale,Strata,139,"9,209",-,Condominium,1,99 yrs lease commencing from 1995,15,Outside Central Region,01 to 05
SCOTTS 28,"5,060,000","2,217.38","2,282",Apr-21,SCOTTS ROAD,Resale,Strata,206,"24,563",-,Condominium,1,Freehold,09,Core Central Region,26 to 30
THE SERENADE @ HOLLAND,"2,250,000","1,786.82","1,259",Apr-21,HOLLAND ROAD,Resale,Strata,166,"13,554",-,Condominium,1,99 yrs lease commencing from 2001,10,Core Central Region,06 to 10
THE WATERSIDE,"4,029,960","2,400.37","1,679",Apr-21,TANJONG RHU ROAD,Resale,Strata,223,"18,072",-,Condominium,1,Freehold,15,Rest of Central Region,06 to 10
COSTA RHU,"3,300,000","2,163.56","1,525",Apr-21,RHU CROSS,Resale,Strata,201,"16,418",-,Condominium,1,99 yrs lease commencing from 1994,15,Rest of Central Region,11 to 15
ELIAS GREEN,"1,300,000","1,668.42",779,Apr-21,ELIAS GREEN,Resale,Strata,155,"8,387",-,Condominium,1,99 yrs lease commencing from 1991,18,Outside Central Region,16 to 20
PARC RIVIERA,"840,000",602.78,"1,394",Apr-21,WEST COAST VALE,Resale,Strata,56,"15,000",-,Condominium,1,99 yrs lease commencing from 2015,05,Outside Central Region,11 to 15
THE PARC CONDOMINIUM,"2,150,000","1,420.85","1,513",Apr-21,WEST COAST WALK,Resale,Strata,132,"16,288",-,Condominium,1,Freehold,05,Outside Central Region,06 to 10
BULLION PARK,"1,468,000","1,259.39","1,166",Apr-21,LENTOR LOOP,Resale,Strata,117,"12,547",-,Condominium,1,Freehold,26,Outside Central Region,06 to 10
THE LUXURIE,"843,000",731.95,"1,152",Apr-21,COMPASSVALE ROAD,Resale,Strata,68,"12,397",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
BOTANNIA,"1,718,000","1,345.5","1,277",Apr-21,WEST COAST PARK,Resale,Strata,125,"13,744",-,Condominium,1,956 yrs lease commencing from 1928,05,Outside Central Region,06 to 10
ASTRID MEADOWS,"2,500,000","1,377.79","1,814",Apr-21,CORONATION ROAD WEST,Resale,Strata,128,"19,531",-,Condominium,1,Freehold,10,Core Central Region,01 to 05
V ON SHENTON,"1,900,000","1,054.87","1,801",Apr-21,SHENTON WAY,Resale,Strata,98,"19,388",-,Apartment,1,99 yrs lease commencing from 2011,01,Core Central Region,16 to 20
FRAGRANT GARDENS,"1,220,000","1,205.57","1,012",Apr-21,UPPER PAYA LEBAR ROAD,Resale,Strata,112,"10,893",-,Apartment,1,Freehold,19,Outside Central Region,01 to 05
