Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
SOL ACRES,"1,255,000",850.36,"1,476",Dec-25,CHOA CHU KANG GROVE,Resale,Strata,79,"15,886",-,Executive Condominium,1,99 yrs lease commencing from 2014,23,Outside Central Region,01 to 05
OTTO PLACE,"1,521,000",871.88,"1,744",Dec-25,PLANTATION CLOSE,New Sale,Strata,81,"18,778",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,06 to 10
BELLEWOODS,"1,688,888","1,227.1","1,376",Dec-25,WOODLANDS AVENUE 5,Resale,Strata,114,"14,815",-,Executive Condominium,1,99 yrs lease commencing from 2013,25,Outside Central Region,06 to 10
SOL ACRES,"1,900,000","1,162.51","1,634",Dec-25,CHOA CHU KANG GROVE,Resale,Strata,108,"17,593",-,Executive Condominium,1,99 yrs lease commencing from 2014,23,Outside Central Region,16 to 20
OTTO PLACE,"1,533,000",871.88,"1,758",Dec-25,PLANTATION CLOSE,New Sale,Strata,81,"18,926",-,Executive Condominium,1,99 yrs lease commencing from 2024,24,Outside Central Region,11 to 15
PRIVE,"1,165,000",775.01,"1,503",Dec-25,PUNGGOL FIELD,Resale,Strata,72,"16,181",-,Executive Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05
CITYLIFE@TAMPINES,"2,390,000","1,668.42","1,432",Dec-25,TAMPINES CENTRAL 7,Resale,Strata,155,"15,419",-,Executive Condominium,1,99 yrs lease commencing from 2012,18,Outside Central Region,01 to 05
THE TOPIARY,"1,425,000",904.18,"1,576",Dec-25,FERNVALE LANE,Resale,Strata,84,"16,964",-,Executive Condominium,1,99 yrs lease commencing from 2012,28,Outside Central Region,16 to 20
1 CANBERRA,"1,338,000",958,"1,397",Dec-25,CANBERRA DRIVE,Resale,Strata,89,"15,034",-,Executive Condominium,1,99 yrs lease commencing from 2012,27,Outside Central Region,06 to 10
PARK GREEN,"1,600,000","1,743.77",918,Dec-25,RIVERVALE LINK,Resale,Strata,162,"9,877",-,Executive Condominium,1,99 yrs lease commencing from 2001,19,Outside Central Region,01 to 05
