Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LINCOLN SUITES,"4,160,000","1,840.64","2,260",Apr-23,KHIANG GUAN AVENUE,Resale,Strata,171,"24,327",-,Condominium,1,Freehold,11,Core Central Region,21 to 25
MARTIN MODERN,"2,350,000",882.65,"2,662",Apr-23,MARTIN PLACE,Resale,Strata,82,"28,659",-,Condominium,1,99 yrs lease commencing from 2016,09,Core Central Region,16 to 20
SELETAR SPRINGS CONDOMINIUM,"945,000",979.52,965,Apr-23,GERALD DRIVE,Resale,Strata,91,"10,385",-,Condominium,1,99 yrs lease commencing from 1997,28,Outside Central Region,01 to 05
WHISTLER GRAND,"1,920,000","1,065.64","1,802",Apr-23,WEST COAST VALE,Sub Sale,Strata,99,"19,394",-,Apartment,1,99 yrs lease commencing from 2018,05,Outside Central Region,01 to 05
PETIT JERVOIS,"1,589,000",635.08,"2,502",Apr-23,JERVOIS ROAD,Resale,Strata,59,"26,932",-,Apartment,1,Freehold,10,Core Central Region,01 to 05
TREASURES @ G20,"545,000",419.8,"1,298",Apr-23,LORONG 20 GEYLANG,Resale,Strata,39,"13,974",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05
ROSEWOOD,"1,300,000","1,431.61",908,Apr-23,ROSEWOOD DRIVE,Resale,Strata,133,"9,774",-,Condominium,1,99 yrs lease commencing from 2000,25,Outside Central Region,11 to 15
76 SHENTON,"1,818,888",968.76,"1,878",Apr-23,SHENTON WAY,Resale,Strata,90,"20,210",-,Apartment,1,99 yrs lease commencing from 2007,02,Core Central Region,11 to 15
LIV ON WILKIE,"980,000",452.09,"2,168",Apr-23,WILKIE TERRACE,Resale,Strata,42,"23,333",-,Apartment,1,Freehold,09,Core Central Region,06 to 10
PARC ESTA,"1,880,000",904.18,"2,079",Apr-23,SIMS AVENUE,Sub Sale,Strata,84,"22,381",-,Apartment,1,99 yrs lease commencing from 2018,14,Rest of Central Region,06 to 10
THE CASCADIA,"1,200,000",570.49,"2,103",Apr-23,BUKIT TIMAH ROAD,Resale,Strata,53,"22,642",-,Condominium,1,Freehold,21,Rest of Central Region,06 to 10
D'LEEDON,"2,350,000","1,280.92","1,835",Apr-23,LEEDON HEIGHTS,Resale,Strata,119,"19,748",-,Condominium,1,99 yrs lease commencing from 2010,10,Core Central Region,26 to 30
RIVERSAILS,"1,368,000","1,033.34","1,324",Apr-23,UPPER SERANGOON CRESCENT,Resale,Strata,96,"14,250",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,01 to 05
AFFINITY AT SERANGOON,"1,330,000",731.95,"1,817",Apr-23,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,68,"19,559",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15
